Date,Name,Code,Start_Price,Reason
2026-02-13,太辰光,300570,154.05,新闻面显示AI产业链受市场高度关注（OpenAI推出新模型、AI焦虑抛售潮等），光模块作为AI算力基础设施持续受益。候选股中太辰光涨幅最高（+15.45%）、成交活跃（62.4亿），且属于光通信板块，与AI算力需求直接相关，技术面强度显著领先其他标的。
2026-02-14,光线传媒,300251,27.22,涨幅15.39%显著领先，成交额109.7亿显示资金高度聚焦，近期全球AI产业波动及娱乐内容需求可能催化传媒板块热度，技术面强度突出。
2026-02-15,光线传媒,300251,27.22,近期新闻热点涉及AI生成视频内容监管及摩尔线程模型适配，显示市场关注AI在传媒娱乐领域的应用；该股当日涨幅15.39%且成交额居前，资金关注度高，可能受AI视频、短剧等概念驱动。
2026-02-16,光线传媒,300251,27.22,新闻中提及电影《星河入梦》预售票房破3000万元，直接利好影视传媒板块；该股今日涨幅15.39%且成交额达109.7亿，显示市场资金集中关注，与影视热点形成共振。
2026-02-17,光线传媒,300251,27.22,新闻面中苹果官宣线下体验会，可能带动消费电子及娱乐内容关注度；该股当日涨幅15.39%且成交额居前，显示市场资金集中追捧，短期动量与事件驱动信号最强。
2026-02-18,中际旭创,300308,531.00,英伟达与Meta宣布战略合作并部署数百万颗芯片，直接利好光模块龙头。中际旭创作为核心供应商，成交额居首且股价坚挺，最契合AI算力热点。
2026-02-19,中际旭创,300308,531.00,新闻提及三星HBM4价格谈判，HBM为AI算力关键，中际旭创作为光模块龙头直接受益于AI算力需求爆发，且成交额居首显示市场关注度高。
2026-02-20,光线传媒,300251,27.22,涨幅15.39%显著领先，成交额109.7亿居前，显示市场资金高度聚焦；近期全球地缘紧张与美股科技股AI支出新闻可能催化传媒/内容板块情绪，该股单日强势表现已反映短期热点资金聚集效应。
2026-02-21,光线传媒,300251,27.22,新闻面显示中概股及科技股情绪回暖（富时A50涨1.09%，中概股指数涨0.94%），且该股当日涨幅15.39%显著领先列表所有股票，成交额109.7亿位列前五，表明资金集中涌入，短期动量与市场关注度最高。
2026-02-22,光线传媒,300251,27.22,近期OpenAI被曝将推出AI硬件，叠加智谱AI等大模型事件持续发酵，AI应用端（尤其传媒内容创作）受关注；该股今日涨幅15.39%且成交额超百亿，资金聚焦明显，符合AI硬件与内容生态联动的市场热点。
